0,1,2
#1f3e5d,#b08346,#c2c7d6
#ece2d4,#d9411f,#471615
#dee3e5,#3a4844,#94977a
#e3e5dc,#6d6d64,#181615
#191219,#8780dd,#adc63c
#cbaa9d,#3c2d30,#0d7a9e
0,0,0
#c1ced7,#5f768c,#2c3746
#0b0e12,#96bbc2,#484f54
#c2b5b3,#827274,#191516
#85a8ae,#090e14,#305662
#8e3d2f,#df8b48,#2a1515
#d8834a,#20445d,#f5e5a5
#0e0806,#85140b,#cbb9b5
#5c523f,#191614,#c4bf96
#b5b2b9,#0d1313,#666c79
#2e3538,#bb6c4b,#d4d2d0
#161416,#cea284,#845a4b
#fbfaf8,#56626e,#d0b580
#6d97a7,#264b59,#071118
#f6f6f7,#727170,#121212
#0e191c,#435366,#8f9fb0
#c4c6b6,#1f181f,#5f5c5d
#212129,#1776a3,#d6d6d8
#185d8f,#d1d4d6,#9a7d7b
#0a0d12,#4e5252,#c6b9ac
0,0,0
#6e6379,#a6bedd,#221c21
#a6060b,#b88d52,#150d10
#221c19,#797976,#d0d2d0
#fdfdfd,#9b8b65,#282527
#0a090a,#9e1c29,#4e5070
#404658,#b8c1c4,#7e7489
#3c3332,#8d554b,#e0a06d
#d98d41,#f2e5b8,#4e2c24
#b1d2eb,#2a55cc,#060405
#140a08,#72513f,#c8ae9d
#283d4a,#8e7f74,#c5d4db
#886563,#cabba1,#4b174f
#e6cbbf,#321b1e,#d6251f
#dbd4c8,#150815,#914027
#a4a5a8,#61484a,#080808
#51637a,#cbd5db,#080c1e
#2c1540,#f9f5f5,#974857
#a56c5e,#201d1f,#ece3e5
#cfd4be,#1d121c,#79746c
#e2be8d,#351d0f,#9b673e
#de3d29,#090707,#fbfafa
#827c7f,#141011,#e1e3e5
#476087,#cbc2bf,#11090c
#e4a98b,#0e0914,#7e5f42
#b47a4b,#0c0805,#e9e1be
#121d23,#49616a,#a7bcc3
#77d0c6,#22252d,#c31e23
#9a5046,#1c191e,#d5a78e
#3f4941,#0b0d0d,#94a28b
#a2908e,#fbfbfa,#0b0808
#050202,#e1b18c,#763d33
#161515,#d1d1d1,#735f60
0,0,0
#a9b6c7,#546680,#101420
#afaab0,#0f070d,#5c3b3f
#c88646,#77c2e9,#211818
#636166,#191d24,#cccbc1
#dccb9c,#7f4641,#040303
#55605f,#7f8b8c,#343a37
#884454,#1d151c,#bdb4be
#0f0906,#cca064,#5e412b
#af3e2f,#1f0b16,#f5f4f3
#adc8c7,#091014,#436868
#563d46,#080405,#b69596
#dde6ee,#371b26,#d77222
#9d7049,#e8dbae,#1f1413
#1d1a19,#dadad9,#8c6d68
#1a519a,#87c1e9,#cf5a3e
#b9876f,#2b6a8a,#423831
#d5c5a1,#170909,#7b503e
#9e7165,#36211d,#decec4
#d1ae9e,#9d5448,#fcf9fa
#7c5a41,#231a19,#c8aa81
#826b57,#221911,#d7dee0
#389dd4,#524221,#b0c8d1
#254053,#96a3a4,#f8f8f8
#d2b34a,#1e2930,#407388
